Nation,Similarity Score
Afghanistan,64
Albania,22
Algeria,42
Andorra,50
Angola,16
Antigua and Barbuda,246
Armenia,310
Australia,2
Austria,32
Azerbaijan,27
Bahamas,282
Belarus,127
Belgium,5
Belize,26
Benin,23
Bosnia and Herzegovina,8
Brazil,6
Bulgaria,16
Burkina Faso,49
Burundi,108
Cambodia,44
Cameroon,55
Canada,33
Cape Verde,13
Central African Republic,53
Chad,44
Chile,51
Comoros,282
Congo,42
Costa Rica,11
Cote d'Ivoire,49
Croatia,5
Cuba,5
Cyprus,42
Czechia,1
Democratic Republic of Congo,39
Denmark,35
Djibouti,55
Dominica,59
Dominican Republic,45
Ecuador,4
Egypt,52
Equatorial Guinea,270
Eritrea,48
Estonia,47
Eswatini,17
Ethiopia,38
Finland,5
France,1
Gambia,15
Georgia,5
Germany,2
Ghana,33
Greece,33
Grenada,246
Guatemala,5
Guinea,5
Guinea-Bissau,278
Guyana,10
Haiti,31
Honduras,39
Hungary,36
India,2
International,246
Iran,30
Iraq,27
Ireland,12
Israel,8
Italy,6
Jamaica,21
Japan,7
Jordan,42
Kazakhstan,6
Kenya,24
Kosovo,45
Kyrgyzstan,5
Laos,48
Latvia,27
Lebanon,24
Lesotho,41
Liberia,6
Libya,18
Liechtenstein,268
Lithuania,34
Luxembourg,40
Madagascar,52
Malawi,19
Maldives,307
Mali,55
Malta,305
Marshall Islands,246
Mauritania,15
Mauritius,59
Mexico,54
Moldova,2
Monaco,168
Montenegro,292
Morocco,39
Mozambique,21
Myanmar,35
Namibia,47
Netherlands,46
Nicaragua,137
Niger,60
Norway,8
Pakistan,17
Palestine,30
Papua New Guinea,4
Peru,42
Philippines,1
Portugal,3
Qatar,6
Romania,7
Russia,7
Saint Kitts and Nevis,246
Saint Lucia,256
Saint Vincent and the Grenadines,246
Samoa,246
San Marino,31
Sao Tome and Principe,282
Saudi Arabia,7
Senegal,47
Serbia,24
Seychelles,6
Sierra Leone,55
Slovakia,30
Slovenia,41
Solomon Islands,15
Somalia,51
South Africa,30
South Korea,8
South Sudan,32
Spain,8
Sri Lanka,5
Sudan,6
Suriname,50
Sweden,46
Switzerland,33
Syria,34
Tanzania,59
Thailand,43
Timor,8
Togo,53
Trinidad and Tobago,7
Tunisia,41
Turkey,10
Uganda,6
Ukraine,46
United Arab Emirates,23
United States,10
Uruguay,50
Vanuatu,61
Vatican,246
Venezuela,36
Vietnam,6
Yemen,52
Zambia,29
Zimbabwe,5
Gabon,1
Kuwait,1
Nigeria,1
Paraguay,1
Poland,1
Tajikistan,16
United Kingdom,1
