country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,0,0,0,27.78
Albania,0,0,0,36.11
Algeria,2,0,0,5.56
Andorra,3,0,0,0
Angola,2,0,0,8.33
Antigua and Barbuda,3,0,0,0
Argentina,2,0,6.4,11.11
Armenia,3,0,0,0
Australia,0,0,0,19.44
Austria,0,0.025,21.2,19.44
Azerbaijan,0,0,0,30.56
Bahamas,3,0,0,0
Bahrain,0,0,0,30.56
Bangladesh,2,0,0,13.89
Barbados,0,0,0,16.67
Belarus,3,0,0,0
Belgium,2,0.053,20.3,13.89
Belize,2,0,0,11.11
Benin,2,0,0,13.89
Bhutan,0,0,0,31.48
Bolivia,4,0,0,62.04
Bosnia and Herzegovina,2,0,0,11.11
Botswana,2,0,0,13.89
Brazil,2,0,0,11.11
Brunei,0,0,0,19.44
Bulgaria,0,0,0,21.3
Burkina Faso,3,0,0,0
Burundi,2,0,0,11.11
Cambodia,0,0,0,19.44
Cameroon,3,0,0,0
Canada,3,0,0,2.78
Cape Verde,0,0,0,19.44
Central African Republic,3,0,0,0
Chad,0,0,0,16.67
Chile,3,0,0,0
China,4,0,0,81.02
Colombia,2,0.001,0,14.81
Comoros,3,0,0,0
Congo,2,0,0,5.56
Costa Rica,2,0,0,11.11
Cote d'Ivoire,3,0,0,0
Croatia,2,0.004,0,13.89
Cuba,2,0,0,13.89
Cyprus,2,0,0,11.11
Czechia,0,0.025,33.2,19.44
Democratic Republic of Congo,2,0,0,5.56
Denmark,0,0.1,14.8,25.93
Djibouti,3,0,0,0
Dominica,3,0,0,0
Dominican Republic,2,0,0,11.11
Ecuador,2,0,0,8.33
Egypt,3,0,0,0
El Salvador,0,0,0,19.44
Equatorial Guinea,3,0,0,0
Eritrea,3,0,0,0
Estonia,3,0.049,31.9,0
Eswatini,2,0,0,13.89
Ethiopia,3,0,0,2.78
Fiji,0,0,0,19.44
Finland,0,0.022,19.8,19.44
France,4,0,0,43.98
Gabon,2,0,0,13.89
Gambia,2,0,0,11.11
Georgia,4,0,0,45.37
Germany,0,0,0,28.7
Ghana,3,0,0,2.78
Greece,0,0,0,31.48
Grenada,3,0,0,0
Guatemala,0,0,0,30.56
Guinea,2,0,0,13.89
Guinea-Bissau,3,0,0,0
Guyana,2,0,0,13.89
Haiti,2,0,0,8.33
Honduras,2,0,0,11.11
Hungary,0,0,0,19.44
Iceland,0,0.287,8.5,16.67
India,0,0,0,26.85
Indonesia,0,0,0,37.04
International,3,0,0,0
Iran,4,0,0,42.59
Iraq,4,0,0,52.78
