Nation,Similarity Score
Afghanistan,310
Albania,239
Algeria,310
Andorra,196
Angola,310
Antigua and Barbuda,306
Argentina,165
Armenia,137
Australia,307
Austria,207
Azerbaijan,264
Bahamas,223
Bahrain,119
Bangladesh,309
Barbados,308
Belarus,249
Belgium,106
Belize,243
Benin,310
Bhutan,309
Bolivia,216
Bosnia and Herzegovina,181
Botswana,290
Brazil,167
Brunei,307
Bulgaria,225
Burkina Faso,310
Burundi,310
Cambodia,310
Cameroon,307
Canada,284
Cape Verde,187
Central African Republic,306
Chad,310
Chile,155
China,284
Colombia,170
Comoros,308
Congo,306
Costa Rica,183
Cote d'Ivoire,310
Croatia,210
Cuba,310
Cyprus,266
Czechia,214
Democratic Republic of Congo,310
Denmark,226
Djibouti,276
Dominica,307
Dominican Republic,228
Ecuador,222
Egypt,310
El Salvador,272
Equatorial Guinea,302
Eritrea,310
Estonia,269
Eswatini,264
Ethiopia,310
Fiji,310
Finland,300
France,121
Gabon,281
Gambia,294
Georgia,240
Germany,261
Ghana,307
Greece,279
Grenada,309
Guatemala,261
Guinea,310
Guyana,272
Haiti,310
Honduras,215
Hungary,213
Iceland,226
India,252
Indonesia,310
International,310
Iran,269
Iraq,201
Ireland,197
Israel,174
Italy,144
Jamaica,291
Japan,306
Jordan,248
Kazakhstan,259
Kenya,310
Kosovo,207
Kuwait,122
Kyrgyzstan,261
Laos,310
Latvia,287
Lebanon,203
Lesotho,305
Liberia,310
Libya,234
Liechtenstein,241
Lithuania,264
Luxembourg,116
Madagascar,310
Malawi,310
Malaysia,306
Maldives,189
Mali,310
Malta,188
Marshall Islands,310
Mauritania,300
Mauritius,310
Mexico,242
Moldova,158
Monaco,237
Mongolia,310
Montenegro,164
Morocco,269
Mozambique,310
Myanmar,310
Namibia,270
Nepal,279
Netherlands,191
New Zealand,309
Nicaragua,303
Niger,310
Nigeria,310
North Macedonia,163
Norway,274
Oman,189
Pakistan,307
Palestine,200
Panama,131
Papua New Guinea,310
Paraguay,240
Peru,160
Philippines,297
Poland,222
Portugal,157
Qatar,123
Romania,189
Russia,222
Rwanda,310
Saint Kitts and Nevis,308
Saint Lucia,309
Saint Vincent and the Grenadines,306
Samoa,310
San Marino,224
Sao Tome and Principe,300
Saudi Arabia,238
Senegal,310
Serbia,231
Seychelles,302
Sierra Leone,310
Singapore,216
Slovakia,245
Slovenia,220
Solomon Islands,310
Somalia,310
South Africa,235
South Korea,290
South Sudan,310
Spain,173
Sri Lanka,310
Sudan,310
Suriname,243
Sweden,221
Switzerland,216
Syria,310
Taiwan,307
Tajikistan,310
Tanzania,310
Thailand,309
Timor,310
Togo,310
Trinidad and Tobago,278
Tunisia,283
Turkey,296
Uganda,310
Ukraine,223
United Arab Emirates,194
United Kingdom,148
United States,64
Uruguay,310
Uzbekistan,309
Vanuatu,310
Vatican,298
Venezuela,294
Vietnam,309
Yemen,310
Zambia,310
Zimbabwe,310
Hong Kong,70
