country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,6,0.411,0.026,1.42
Albania,0,3.822,0.695,1.02
Algeria,0,1.026,0.068,1.6
Andorra,3,530.641,0,0.96
Angola,2,0.03,0,0
Antigua and Barbuda,5,0,0,0
Argentina,2,2.235,0.111,1.66
Armenia,5,26.323,0,1.43
Australia,0,19.49,0.039,1.59
Austria,3,68.174,1.11,1.41
Azerbaijan,6,1.677,0.099,1.67
Bahamas,5,0,0,0
Bahrain,4,5.877,0,1.31
Bangladesh,2,0,0,0
Barbados,0,6.96,0,0
Belarus,8,0,0,0
Belgium,1,159.626,5.522,1.93
Belize,6,0,0,0
Benin,5,0,0,0
Bhutan,0,0,0,0
Bolivia,0,1.114,0,0
Bosnia and Herzegovina,0,6.401,0.305,1.17
Botswana,6,0,0,0
Brazil,0,2.291,0.089,2.06
Brunei,6,11.429,2.286,0.24
Bulgaria,0,5.469,0.576,1.15
Burkina Faso,0,1.292,0.096,0.96
Burundi,5,0,0,0
Cambodia,6,0,0,0
Cameroon,6,0,0,0
Canada,0,23.687,0.185,2.11
Cape Verde,0,0,0,0
Central African Republic,6,0,0,0
Chad,5,0,0,0
Chile,0,18.309,0.052,1.98
China,0,0.071,0.002,0.93
Colombia,2,1.356,0,1.73
Comoros,5,0,0,0
Congo,0,0,0,0
Costa Rica,0,6.282,0,1.05
Cote d'Ivoire,0,0,0,1.3
Croatia,2,17.295,0.487,1.55
Cuba,6,3.443,0.088,0
Cyprus,0,19.409,0,1.21
Czechia,0,32.87,0.187,1.64
Democratic Republic of Congo,0,0.156,0.033,0
Denmark,3,28.659,2.244,1.35
Djibouti,2,2.024,0,0
Dominica,6,0,0,0
Dominican Republic,2,12.721,0.737,1.95
Ecuador,2,12.923,0.68,1.99
Egypt,0,0.391,0.059,1.46
El Salvador,2,0.925,0,0
Equatorial Guinea,5,0,0,0
Eritrea,0,0,0,0
Estonia,3,52.769,0,1.38
Eswatini,0,0,0,0
Ethiopia,4,0,0,0
Fiji,4,0,0,0
Finland,6,22.741,0.361,1.39
France,1,72.051,4.902,1.8
Gabon,6,0,0,0
Gambia,0,0,0,0
Georgia,2,1.755,0,0
Germany,3,81.448,1.086,1.66
Ghana,6,0.129,0.032,1.37
Greece,0,9.114,0.384,1.21
Grenada,5,0,0,0
Guatemala,2,0.335,0,0
Guinea,0,0,0,0
Guinea-Bissau,5,0,0,0
Guyana,6,3.814,0,0
Haiti,0,0,0,0
Honduras,2,2.726,0,0
Hungary,0,4.451,0.104,1.59
Iceland,3,213.919,0,1.28
India,2,0.072,0.003,2.04
Indonesia,6,0.399,0.055,1.65
International,5,0,0,0
Iran,6,36.622,1.655,1.78
Iraq,2,1.193,0.05,1.64
Ireland,3,59.541,2.835,1.85
Israel,0,55.456,0.116,1.74
Italy,1,98.806,14.703,1.15
Jamaica,0,1.351,0,0
Japan,6,1.566,0.024,1.98
Jordan,2,1.078,0,0.93
Kazakhstan,4,4.154,0,1.74
Kenya,2,0.13,0,0
Kosovo,2,1.035,0,0
Kuwait,0,2.342,0,1.41
Kyrgyzstan,2,0,0,0
Laos,5,0.275,0,0
Latvia,4,13.254,0,1.09
Lebanon,0,3.077,0,1.07
Lesotho,0,0,0,0
Liberia,0,0,0,0
Libya,2,0.291,0,0
Liechtenstein,5,0,0,0
Lithuania,0,13.224,0.735,1.3
Luxembourg,1,361.036,4.793,1.52
Madagascar,2,0,0,0
Malawi,6,0,0,0
Malaysia,0,4.913,0.031,1.37
Maldives,4,0,0,0
Mali,0,0.346,0,0
Malta,5,22.648,0,0.79
Marshall Islands,5,0,0,0
Mauritania,6,0.43,0,0
Mauritius,0,6.29,0,0
Mexico,6,1.016,0.031,1.83
Moldova,0,7.933,0,1.64
